age (Ma),natural decay total,natural decay within 15,natural decay outside 15,burial total,burial within 15,burial outside 15
520,2402933.696112846,1857849.5121921946,545084.183920652,2221661.188124074,1676577.0042034222,545084.183920652
515,2327108.4964642804,1843842.7272675142,483265.76919676585,2150933.898362027,1667668.1291652608,483265.76919676585
510,5700166.647506806,5263822.369532333,436344.27797447366,5528936.29502798,5092592.017053507,436344.27797447366
505,5620388.5737486025,5267440.251052887,352948.3226957147,5453945.050517702,5100996.727821986,352948.3226957147
500,5466721.933207249,5134857.044310136,331864.888897113,5305199.7130251145,4973334.824128001,331864.888897113
495,5309048.820190949,4878893.6199866785,430155.20020427176,5151655.73966671,4721500.539462438,430155.20020427176
490,5156322.687571005,4571195.953275355,585126.7342956503,5003830.099999108,4418703.365703458,585126.7342956503
485,4924160.466192878,4284513.112628741,639647.3535641369,4775918.584923124,4136271.2313589873,639647.3535641369
480,4802253.7284831125,3953487.207231842,848766.5212512705,4658323.190594045,3809556.6693427754,848766.5212512705
475,4604159.750040796,3723286.810121161,880872.939919635,4463897.737410166,3583024.797490531,880872.939919635
470,4590644.69556754,3392755.2695529247,1197889.4260146148,4454893.055985472,3257003.629970858,1197889.4260146148
465,4371036.696028048,2783443.848694889,1587592.847333159,4238621.423910999,2651028.5765778385,1587592.847333159
460,4336488.155563716,2037165.6100992267,2299322.5454644896,4207901.863881528,1908579.3184170383,2299322.5454644896
455,4214688.274773791,2076861.8775766857,2137826.397197105,4089958.6293911724,1952132.232194067,2137826.397197105
450,4109064.5333815394,2154747.2787350775,1954317.2546464615,3987572.3840114186,2033255.1293649569,1954317.2546464615
445,3990780.5181006524,2634203.266112593,1356577.2519880587,3873199.9202689384,2516622.66828088,1356577.2519880587
440,3886491.5944154477,3015929.883639454,870561.7107759936,3772276.8348611807,2901715.124085187,870561.7107759936
435,3767594.0124084246,3364148.994412255,403445.0179961693,3656623.6106179906,3253178.5926218214,403445.0179961693
430,3605658.681924438,3203944.9707412836,401713.71118315455,3497874.8264247924,3096608.666416849,401266.1600079434
425,3511987.6310510845,3084422.337520435,427565.2935306495,3406997.4486016985,3035226.7629833217,371770.6856183769
420,3411409.5092415037,2817007.382679013,594402.1265624904,3309593.8954110052,2817007.382679013,492586.5127319924
415,3321247.657265239,2365233.4198798775,956014.2373853613,3222611.8498651,2365233.4198798775,857378.4299852225
410,3241503.937178447,1621955.915566639,1619548.021611808,3145476.433143019,1621955.915566639,1523520.5175763804
405,3168656.6775008924,1300024.8728557492,1868631.8046451425,3075302.8663880485,1300024.8728557492,1775277.993532299
400,3086058.6561058746,1031545.5005147913,2054513.1555910837,2995571.2990840743,1031545.5005147913,1964025.798569283
395,2991348.4937073207,999084.2586965538,1992264.2350107674,2903293.4759536865,999084.2586965538,1904209.2172571335
390,2911911.646066891,1031322.7873081047,1880588.858758786,2826354.5227552634,1031322.7873081047,1795031.7354471588
385,2822354.122830061,1075942.2659098413,1746411.8569202197,2739435.3618609067,1075942.2659098413,1663493.0959510657
380,8666924.921492592,6862530.239778897,1804394.6817136952,8586178.264758382,6862530.239778897,1723648.0249794868
375,8384221.87964754,6565388.510034377,1818833.3696131634,8305814.912071856,6565388.510034377,1740426.4020374808
370,9263779.797657844,6313311.056240402,2950468.741417442,9187565.102531672,6313311.056240402,2874254.0462912703
365,9055407.391058948,6138787.048898811,2916620.342160138,8981347.629163032,6138787.048898811,2842560.5802642223
360,9207661.260631995,5942079.335352233,3265581.9252797635,9135920.58974839,5942079.335352233,3193841.254396158
355,8944080.111219594,5647937.890743305,3296142.22047629,8874187.36049532,5647937.890743305,3226249.4697520155
350,8593009.36728927,5440592.406523457,3152416.960765815,8525084.227533432,5440592.406523457,3084491.8210099763
345,8427525.225323254,5284475.588509205,3143049.63681405,8361557.99000639,5284475.588509205,3077082.4014971843
340,8174141.458717151,5119135.049484252,3055006.4092328968,8110048.086549218,5119135.049484252,2990913.037064965
335,7936507.101269068,4807985.186947602,3128521.9143214654,7874195.129659787,4803135.93613667,3071059.1935231164
330,7743044.2650100505,4168927.2767120376,3574116.9882980115,7682185.424285914,4148338.073763225,3533847.3505226877
325,7490979.398239001,4304517.159187904,3186462.239051097,7432294.616781229,4271237.284185551,3161057.332595677
320,7246785.0286411205,4457797.947081727,2788987.0815593936,7189678.02816637,4412380.263286568,2777297.7648798022
315,7070055.1583139505,3733219.3212030116,3336835.837110939,7014525.064176127,3677689.227065188,3336835.837110939
310,6863259.791300691,2360499.1069139484,4502760.684386742,6809311.12686286,2306550.4424761184,4502760.684386742
305,6640952.1922656875,1833866.2597216826,4807085.932544004,6588585.188041456,1781499.2554974519,4807085.932544004
300,6456745.735175477,1425429.5758018927,5031316.159373584,6405822.384432885,1374506.2250593007,5031316.159373584
295,6244991.7853957545,1286027.1551231467,4958964.630272607,6195572.669753055,1236608.0394804473,4958964.630272607
290,6483172.609855128,1149418.7172717685,5333753.89258336,6435142.772283987,1101388.8797006279,5333753.89258336
285,6266758.465061864,1056618.6934129726,5210139.771648892,6220107.3414375335,1009967.5697886415,5210139.771648892
280,6185047.601818314,968593.8174238824,5216453.784394432,6139730.07296236,923276.2885679286,5216453.784394432
275,5981313.619468695,609841.78025417,5371471.839214525,5937128.347164081,565679.4303639545,5371448.916800127
270,5790257.6345149325,434176.94922937977,5356080.685285552,5747263.726046979,391390.2442352372,5355873.481811742
265,5658925.5589366555,415088.2239898528,5243837.334946803,5617292.622738767,374395.15406282444,5242897.468675942
260,5506694.168302453,385379.7212123876,5121314.447090065,5466306.612718179,349076.066529494,5117230.546188685
255,6037958.443888343,1110040.8139889059,4927917.629899438,5998593.221736829,1075624.4535879001,4922968.768148929
250,9294255.924494466,1063285.3922377748,8230970.532256691,9256025.15332683,1030615.7398171846,8225409.413509646
245,8998883.131368555,1045240.0677912147,7953643.063577341,8961855.652992083,1009677.7535640022,7952177.899428081
240,8781310.426327845,968142.9983279621,7813167.427999881,8745166.099888643,932798.7409296854,7812367.358958958
235,8496446.534665199,556021.4702168063,7940425.064448392,8461402.367127929,521348.4341206782,7940053.9330072515
230,8302886.576903744,261925.24676844082,8040961.330135303,8268938.635749066,228090.9848804714,8040847.6508685965
225,8016609.015155151,204860.85461733947,7811748.16053781,7983506.333955061,172061.23761236464,7811445.096342696
220,7866542.326262439,125879.65593711988,7740662.670325319,7834484.671996331,94435.13592907992,7740049.53606725
215,7584369.727910598,44665.163492468484,7539704.56441813,7553109.960313027,14891.561959044335,7538218.398353983
210,7376134.182245201,61925.328821787305,7314208.853423415,7345864.647337428,33650.36475555345,7312214.282581875
205,7213626.268323234,63673.29931371515,7149952.96900952,7184157.551470369,36422.35956727022,7147735.1919030985
200,18400095.958756365,7766891.039471617,10633204.919284748,7004819.388414253,35114.30101121831,6969705.087403034
195,17713548.14414888,7560343.191458259,10153204.95269062,6812802.14801433,32878.23604018835,6779923.911974142
190,17329828.18425848,7218562.3624224905,10111265.82183599,6582636.808199985,29594.854967116542,6553041.953232869
185,15914849.747411998,6105480.568572851,9809369.178839147,6346297.231229075,22522.843886169565,6323774.387342906
180,19363757.59637045,6693743.951282168,12670013.645088281,9309463.755239328,1019.6262480914107,9308444.128991239
175,18021061.19619815,6066685.859841145,11954375.336356997,8853232.546134721,275.0582581166509,8852957.487876605
170,18657952.811553255,6758498.181819232,11899454.629734017,9202912.63555474,0.0,9202912.635554738
165,17773530.01397267,5932553.527413764,11840976.486558905,9039556.886818098,0.0,9039556.886818098
160,17952432.36913726,6290769.08136867,11661663.287768593,8246848.233216285,24.96990394168545,8246823.263312342
155,17724386.002323996,6130649.130999746,11593736.871324247,8343926.517567713,26.32742111409164,8343900.190146601
150,17125834.103982136,5971866.096346488,11153968.007635647,8077403.234432735,28.090401905045052,8077375.144030831
145,16662999.902616987,5752476.882207951,10910523.020409036,7955779.5255624,114.00840185351394,7955665.517160547
140,16455954.06853368,5749400.324461369,10706553.744072312,7812328.995870122,229.28884127483875,7812099.707028846
135,19106007.553227704,5642599.846779341,13463407.70644836,7568843.059963888,221.53636657933757,7568621.523597308
130,18978442.73312102,5658358.617856346,13320084.115264673,8158870.477897922,651138.0428095986,7507732.435088322
125,18163467.895551424,5778435.364564223,12385032.530987198,7302906.259526726,633810.1789305015,6669096.080596225
120,17697773.839213707,5509560.897981789,12188212.941231912,7167948.305139686,614822.1085238851,6553126.1966158
115,16698461.553322105,4881332.68581785,11817128.867504254,6915433.033164231,597306.7159754867,6318126.317188745
110,16168120.112067476,4744557.305721621,11423562.806345854,6686740.331416572,580297.5261677654,6106442.805248807
105,16181689.842651226,4984068.024209883,11197621.818441343,6553437.487842394,564571.5555685585,5988865.932273836
100,15939695.218490077,4775059.044947106,11164636.173542973,6569351.3590013,547365.509307137,6021985.849694164
95,18956121.90917273,4608997.670813017,14347124.238359708,9879091.361602793,519209.68784502376,9359881.673757771
90,19581850.699293222,5070539.468559628,14511311.230733588,10795150.045702154,1113595.4391681359,9681554.60653402
85,19064403.150682542,4891919.153601244,14172483.997081297,10567583.304034313,1034183.9913783903,9533399.312655924
80,18598655.374314398,4731023.920010301,13867631.454304095,10257392.155260738,959040.92918387,9298351.226076867
75,18098908.333424654,4556336.42116277,13542571.91226189,9996648.121312317,897249.5494164228,9099398.571895894
70,17563603.06084476,4370421.860239597,13193181.200605161,9693036.231364615,840896.1733899089,8852140.057974705
65,18322919.88213335,4140967.6814117758,14181952.200721579,10221397.971932404,776745.4539148798,9444652.518017521
60,18853281.376005,4076277.375342497,14777004.0006625,10982652.179609897,912586.2838418302,10070065.895768065
55,18075784.443041928,4236205.828006033,13839578.615035895,10700427.680588244,1456855.8624441542,9243571.81814409
50,17832584.193548746,4525570.522221946,13307013.6713268,10470279.729213955,1398030.8614140737,9072248.867799882
45,17268628.94047586,4485027.8427777365,12783601.09769812,10119692.332938178,1429945.6137410025,8689746.719197175
40,16776618.446110021,4450060.2612143215,12326558.1848957,9819614.138399743,1501161.2439786573,8318452.894421085
35,16061004.44995012,4164249.0548056155,11896755.395144505,9522102.95717198,1526013.4957140428,7996089.46145794
30,17760916.091576513,5774424.749188574,11986491.342387946,9180221.043582026,1485666.9256851275,7694554.117896898
25,17207114.675593466,5498417.145412957,11708697.530180505,8934319.5183919,1353993.498812317,7580326.019579583
20,16548065.101438966,4927924.485620356,11620140.615818609,8720372.050736088,1129023.4040772328,7591348.646658856
15,17015336.152825724,4877040.211949913,12138295.94087581,9067315.259249436,993396.92292875,8073918.336320684
10,16286664.130841622,4334839.660505982,11951824.470335642,8868690.336952971,871118.8488717044,7997571.488081268
5,16009357.797103044,4274702.70209888,11734655.095004164,8576134.599320475,759187.7161617016,7816946.883158773
0,15467194.88995948,4018145.2462275145,11449049.643731967,8292566.580120054,695158.7356088678,7597407.844511185
